element_id,size,ceiling_x_mm,ceiling_y_mm,finished_main_cable_mm,yoke_drop_mm,element_origin_drop_mm,top_edge_drop_mm,lowest_edge_drop_mm,target_yaw_deg,wing_fold_deg,nominal_wingspan_mm,nominal_body_axis_length_mm,nominal_thickness_mm,material_tier,design_release
VX-147,M,398.409,-122.354,2707.785,2707.785,2789.09,2735.785,2794.79,330.694,42.0,146,82,6,LUX-GL,1.3.0
VX-148,M,509.819,-253.902,2723.407,2723.407,2804.713,2751.407,2810.413,327.617,42.0,146,82,6,LUX-GL,1.3.0
VX-149,M,452.929,-156.931,3275.547,3275.547,3356.853,3303.547,3362.553,134.863,42.0,146,82,6,LUX-GL,1.3.0
VX-150,M,343.731,-87.018,2620.547,2620.547,2701.852,2648.547,2707.552,330.174,42.0,146,82,6,LUX-GL,1.3.0
VX-151,M,509.424,-189.321,2636.192,2636.192,2717.497,2664.192,2723.197,357.074,42.0,146,82,6,LUX-GL,1.3.0
VX-152,M,455.805,-92.747,3038.75,3038.75,3120.055,3066.75,3125.755,16.822,42.0,146,82,6,LUX-GL,1.3.0
VX-153,M,571.402,-170.583,3338.14,3338.14,3419.446,3366.14,3425.146,330.72,42.0,146,82,6,LUX-GL,1.3.0
VX-154,M,511.955,-124.233,2858.567,2858.567,2939.872,2886.567,2945.572,146.31,42.0,146,82,6,LUX-GL,1.3.0
VX-155,M,401.287,-57.174,2549.239,2549.239,2630.544,2577.239,2636.244,16.644,42.0,146,82,6,LUX-GL,1.3.0
VX-156,M,574.121,-105.648,3116.906,3116.906,3198.212,3144.906,3203.912,22.027,42.0,146,82,6,LUX-GL,1.3.0
VX-157,M,470.488,-29.177,3400.849,3400.849,3482.154,3428.849,3487.854,159.825,42.0,146,82,6,LUX-GL,1.3.0
VX-158,M,346.861,-22.144,3416.544,3416.544,3497.849,3444.544,3503.549,330.246,42.0,146,82,6,LUX-GL,1.3.0
VX-159,M,527.058,-61.514,2627.48,2627.48,2708.786,2655.48,2714.486,21.574,42.0,146,82,6,LUX-GL,1.3.0
VX-160,M,416.491,5.389,2911.444,2911.444,2992.75,2939.444,2998.45,26.836,42.0,146,82,6,LUX-GL,1.3.0
VX-161,M,584.908,-32.246,2927.16,2927.16,3008.465,2955.16,3014.165,27.002,42.0,146,82,6,LUX-GL,1.3.0
VX-162,M,474.433,34.914,3211.138,3211.138,3292.443,3239.138,3298.143,161.783,42.0,146,82,6,LUX-GL,1.3.0
VX-163,M,361.997,41.115,3030.834,3030.834,3112.14,3058.834,3117.84,330.792,42.0,146,82,6,LUX-GL,1.3.0
VX-164,M,530.405,3.622,3108.476,3108.476,3189.781,3136.476,3195.481,27.134,42.0,146,82,6,LUX-GL,1.3.0
VX-165,M,419.639,70.655,2721.836,2721.836,2803.141,2749.836,2808.841,26.587,42.0,146,82,6,LUX-GL,1.3.0
VX-166,M,588.461,32.677,3408.223,3408.223,3489.529,3436.223,3495.229,26.544,42.0,146,82,6,LUX-GL,1.3.0
VX-167,M,478.053,99.836,3558.107,3558.107,3639.413,3586.107,3645.113,171.151,42.0,146,82,6,LUX-GL,1.3.0
VX-168,M,308.029,76.336,3305.615,3305.615,3386.921,3333.615,3392.621,330.656,42.0,146,82,6,LUX-GL,1.3.0
VX-169,M,534.069,68.345,2857.097,2857.097,2938.403,2885.097,2944.103,26.716,42.0,146,82,6,LUX-GL,1.3.0
VX-170,M,366.137,105.582,2950.255,2950.255,3031.56,2978.255,3037.26,184.086,42.0,146,82,6,LUX-GL,1.3.0
VX-171,M,249.956,48.049,2816.434,2816.434,2897.739,2844.434,2903.439,27.351,42.0,146,82,6,LUX-GL,1.3.0
VX-172,M,423.47,135.238,3100.478,3100.478,3181.784,3128.478,3187.484,56.659,42.0,146,82,6,LUX-GL,1.3.0
VX-173,M,311.171,141.096,3652.784,3652.784,3734.089,3680.784,3739.789,26.94,42.0,146,82,6,LUX-GL,1.3.0
VX-174,M,481.582,164.771,3400.331,3400.331,3481.636,3428.331,3487.336,26.415,42.0,146,82,6,LUX-GL,1.3.0
VX-175,S,369.881,170.259,2893.086,2893.086,2960.935,2921.086,2965.685,192.83,42.0,108,60,5,LUX-GL,1.3.0
VX-176,S,253.248,112.769,3177.156,3177.156,3245.005,3205.156,3249.755,27.68,42.0,108,60,5,LUX-GL,1.3.0
VX-177,S,426.771,200.102,3729.487,3729.487,3797.336,3757.487,3802.086,85.828,42.0,108,60,5,LUX-GL,1.3.0
VX-178,S,257.96,177.372,2940.55,2940.55,3008.398,2968.55,3013.148,206.456,42.0,108,60,5,LUX-GL,1.3.0
VX-179,S,194.51,84.525,3492.894,3492.894,3560.742,3520.894,3565.492,26.571,42.0,108,60,5,LUX-GL,1.3.0
VX-180,S,315.403,206.1,3240.479,3240.479,3308.327,3268.479,3313.077,85.895,42.0,108,60,5,LUX-GL,1.3.0
VX-181,S,199.156,149.268,3792.835,3792.835,3860.684,3820.835,3865.434,85.151,42.0,108,60,5,LUX-GL,1.3.0
VX-182,S,320.842,270.221,3003.922,3003.922,3071.771,3031.922,3076.521,85.973,42.0,108,60,5,LUX-GL,1.3.0
VX-183,S,203.693,213.716,3288.036,3288.036,3355.884,3316.036,3360.634,219.656,42.0,108,60,5,LUX-GL,1.3.0
VX-184,S,140.672,120.873,3303.9,3303.9,3371.749,3331.9,3376.499,25.817,42.0,108,60,5,LUX-GL,1.3.0
VX-185,S,262.443,242.139,3856.281,3856.281,3924.13,3884.281,3928.88,85.404,42.0,108,60,5,LUX-GL,1.3.0
VX-186,S,145.841,185.169,3067.392,3067.392,3135.241,3095.392,3139.991,145.612,42.0,108,60,5,LUX-GL,1.3.0
VX-187,S,208.739,278.894,3083.275,3083.275,3151.124,3111.275,3155.874,85.631,42.0,108,60,5,LUX-GL,1.3.0
VX-188,S,150.816,250.279,3903.929,3903.929,3971.778,3931.929,3976.528,224.914,42.0,108,60,5,LUX-GL,1.3.0
VX-189,S,86.938,157.456,3919.824,3919.824,3987.673,3947.824,3992.423,86.354,42.0,108,60,5,LUX-GL,1.3.0
VX-190,S,154.918,314.656,3399.214,3399.214,3467.063,3427.214,3471.813,85.691,42.0,108,60,5,LUX-GL,1.3.0
VX-191,S,91.78,221.729,3415.121,3415.121,3482.969,3443.121,3487.719,247.417,42.0,108,60,5,LUX-GL,1.3.0
VX-192,S,64.247,96.652,3162.778,3162.778,3230.627,3190.778,3235.377,85.507,42.0,108,60,5,LUX-GL,1.3.0
VX-193,S,96.881,286.641,3178.696,3178.696,3246.545,3206.696,3251.295,107.043,42.0,108,60,5,LUX-GL,1.3.0
VX-194,S,34.136,194.877,3194.62,3194.62,3262.469,3222.62,3267.219,146.148,42.0,108,60,5,LUX-GL,1.3.0
VX-195,S,42.79,322.924,3747.06,3747.06,3814.909,3775.06,3819.659,85.909,42.0,108,60,5,LUX-GL,1.3.0
VX-196,S,38.632,257.725,4031.25,4031.25,4099.099,4059.25,4103.849,260.564,42.0,108,60,5,LUX-GL,1.3.0
VX-197,S,11.344,133.711,3778.937,3778.937,3846.785,3806.937,3851.535,164.365,42.0,108,60,5,LUX-GL,1.3.0
VX-198,S,-23.068,274.994,3526.628,3526.628,3594.477,3554.628,3599.227,129.747,42.0,108,60,5,LUX-GL,1.3.0
VX-199,S,-30.586,184.131,3542.581,3542.581,3610.43,3570.581,3615.18,130.128,42.0,108,60,5,LUX-GL,1.3.0
VX-200,S,-64.625,324.295,3290.284,3290.284,3358.133,3318.284,3362.883,130.504,42.0,108,60,5,LUX-GL,1.3.0
